,Program,Year,Period,Geo_Level,State,County,Commodity,Data_Item,Domain,Domain Category,Value,CV_(%)
176,CENSUS,2012,YEAR,COUNTY,CALIFORNIA,SONOMA,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,5,6.2
181,CENSUS,2012,YEAR,COUNTY,CALIFORNIA,GLENN,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,45693,6.2
184,CENSUS,2012,YEAR,COUNTY,CALIFORNIA,SUTTER,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,6975,6.2
185,CENSUS,2012,YEAR,COUNTY,CALIFORNIA,TEHAMA,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,6555,6.2
186,CENSUS,2012,YEAR,COUNTY,CALIFORNIA,YOLO,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,11882,6.2
188,CENSUS,2012,YEAR,COUNTY,CALIFORNIA,FRESNO,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,132091,6.2
189,CENSUS,2012,YEAR,COUNTY,CALIFORNIA,KERN,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,143809,6.2
190,CENSUS,2012,YEAR,COUNTY,CALIFORNIA,KINGS,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,18501,6.2
191,CENSUS,2012,YEAR,COUNTY,CALIFORNIA,MADERA,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,80630,6.2
192,CENSUS,2012,YEAR,COUNTY,CALIFORNIA,MERCED,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,101499,6.2
193,CENSUS,2012,YEAR,COUNTY,CALIFORNIA,SAN JOAQUIN,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,46380,6.2
194,CENSUS,2012,YEAR,COUNTY,CALIFORNIA,STANISLAUS,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,120339,6.2
195,CENSUS,2012,YEAR,COUNTY,CALIFORNIA,TULARE,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,22365,6.2
197,CENSUS,2012,YEAR,COUNTY,CALIFORNIA,EL DORADO,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,3,6.2
199,CENSUS,2012,YEAR,COUNTY,CALIFORNIA,NEVADA,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,1,6.2
200,CENSUS,2012,YEAR,COUNTY,CALIFORNIA,PLACER,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,19,6.2
222,CENSUS,2012,YEAR,COUNTY,NEVADA,LINCOLN,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,6,(H)
227,CENSUS,2012,YEAR,COUNTY,NEW MEXICO,VALENCIA,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,1,(H)
236,CENSUS,2012,YEAR,COUNTY,OREGON,JACKSON,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,1,(H)
252,CENSUS,2012,YEAR,NATIONAL,US TOTAL,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,"AREA BEARING & NON-BEARING: (1,000 OR MORE ACRES)",298045,10.4
253,CENSUS,2012,YEAR,NATIONAL,US TOTAL,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (1.0 TO 4.9 ACRES),1020,8.1
254,CENSUS,2012,YEAR,NATIONAL,US TOTAL,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (100 OR MORE ACRES),703841,4
255,CENSUS,2012,YEAR,NATIONAL,US TOTAL,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (100 TO 249 ACRES),131897,4.2
256,CENSUS,2012,YEAR,NATIONAL,US TOTAL,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (15.0 TO 24.9 ACRES),16035,5.4
257,CENSUS,2012,YEAR,NATIONAL,US TOTAL,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (25.0 TO 49.9 ACRES),35335,4.7
258,CENSUS,2012,YEAR,NATIONAL,US TOTAL,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (250 TO 499 ACRES),135135,4.9
261,CENSUS,2012,YEAR,NATIONAL,US TOTAL,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (500 TO 749 ACRES),77879,8.4
262,CENSUS,2012,YEAR,NATIONAL,US TOTAL,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (750 TO 999 ACRES),60884,5.6
263,CENSUS,2012,YEAR,NATIONAL,US TOTAL,,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,818027,3.7
265,CENSUS,2012,YEAR,STATE,CALIFORNIA,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (0.1 TO 0.9 ACRES),55,9.5
266,CENSUS,2012,YEAR,STATE,CALIFORNIA,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,"AREA BEARING & NON-BEARING: (1,000 OR MORE ACRES)",298045,10.4
267,CENSUS,2012,YEAR,STATE,CALIFORNIA,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (1.0 TO 4.9 ACRES),1007,8.2
268,CENSUS,2012,YEAR,STATE,CALIFORNIA,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (100 OR MORE ACRES),703841,4
269,CENSUS,2012,YEAR,STATE,CALIFORNIA,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (100 TO 249 ACRES),131897,4.2
270,CENSUS,2012,YEAR,STATE,CALIFORNIA,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (15.0 TO 24.9 ACRES),16035,5.4
271,CENSUS,2012,YEAR,STATE,CALIFORNIA,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (25.0 TO 49.9 ACRES),35335,4.7
272,CENSUS,2012,YEAR,STATE,CALIFORNIA,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (250 TO 499 ACRES),135135,4.9
273,CENSUS,2012,YEAR,STATE,CALIFORNIA,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (5.0 TO 14.9 ACRES),8115,5.4
274,CENSUS,2012,YEAR,STATE,CALIFORNIA,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (50.0 TO 99.9 ACRES),53532,3.8
275,CENSUS,2012,YEAR,STATE,CALIFORNIA,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (500 TO 749 ACRES),77879,8.4
276,CENSUS,2012,YEAR,STATE,CALIFORNIA,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (750 TO 999 ACRES),60884,5.6
277,CENSUS,2012,YEAR,STATE,CALIFORNIA,,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,817920,3.7
286,CENSUS,2012,YEAR,STATE,NEW MEXICO,,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,2,(H)
292,CENSUS,2012,YEAR,STATE,TEXAS,,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,1,75.8
293,CENSUS,2012,YEAR,STATE,UTAH,,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,11,45.4
303,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,CONTRA COSTA,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,39,
308,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,SAN LUIS OBISPO,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,1374,
315,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,BUTTE,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,38686,
316,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,COLUSA,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,33884,
317,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,GLENN,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,33111,
320,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,SUTTER,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,5466,
321,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,TEHAMA,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,6096,
324,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,FRESNO,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,103208,
325,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,KERN,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,109016,
327,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,MADERA,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,57623,
328,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,MERCED,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,85528,
329,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,SAN JOAQUIN,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,35956,
330,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,STANISLAUS,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,102514,
331,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,TULARE,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,17068,
334,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,EL DORADO,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,4,
336,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,PLACER,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,9,
339,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,LOS ANGELES,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,8,
343,CENSUS,2007,YEAR,COUNTY,CALIFORNIA,SAN DIEGO,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,9,
375,CENSUS,2007,YEAR,COUNTY,OREGON,LANE,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,1,
380,CENSUS,2007,YEAR,COUNTY,OREGON,DOUGLAS,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,1,
398,CENSUS,2007,YEAR,COUNTY,UTAH,WASHINGTON,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,7,
404,CENSUS,2007,YEAR,COUNTY,VIRGINIA,LEE,ALMONDS,ALMONDS - ACRES BEARING,TOTAL,NOT SPECIFIED,1,
412,CENSUS,2007,YEAR,NATIONAL,US TOTAL,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (0.1 TO 0.9 ACRES),69,
413,CENSUS,2007,YEAR,NATIONAL,US TOTAL,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,"AREA BEARING & NON-BEARING: (1,000 OR MORE ACRES)",202586,
414,CENSUS,2007,YEAR,NATIONAL,US TOTAL,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (1.0 TO 4.9 ACRES),1045,
415,CENSUS,2007,YEAR,NATIONAL,US TOTAL,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (100 OR MORE ACRES),543795,
416,CENSUS,2007,YEAR,NATIONAL,US TOTAL,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (100 TO 249 ACRES),119021,
417,CENSUS,2007,YEAR,NATIONAL,US TOTAL,,ALMONDS,ALMONDS - ACRES BEARING,AREA BEARING & NON-BEARING,AREA BEARING & NON-BEARING: (15.0 TO 24.9 ACRES),16004,
